Guiyang,Paris,Chaohu,Luoping,Xingyi,Guanling
0,0,6,8,13,13
13,2,2,28,17,6
1,2,0,2,0,0
3,1,7,3,0,4
3,4,2,2,3,10
5,15,2,1,1,11
1,0,0,1,0,0
1,0,0,0,0,0
0,3,0,1,0,2
3,6,0,12,1,0
0,1,0,1,0,0
0,3,4,0,0,0
1,0,0,1,0,0
0,0,0,1,0,0
0,1,0,0,0,0
0,1,0,1,1,3
0,0,0,0,0,1
1,2,0,0,0,0
1,0,0,0,0,0
0,4,0,0,0,0
7,0,7,0,0,0
